"cell_id","elev_mean","slope_mean","aspect_north","aspect_east","lc_frac_tree","lc_frac_shrub","lc_frac_grass","lc_frac_crop","lc_frac_built","lc_frac_bare","lc_frac_wetland","lc_frac_water","ghm","housing_logden"
91432,367.094787597656,19.5149898529053,0.211531698703766,0.371172457933426,0.312556028366089,0,0.687443971633911,0,0,0,0,0,0.195247769355774,0.951920211315155
91433,283.327545166016,15.2644329071045,0.290784060955048,0.634400904178619,0.609677076339722,0,0.36923947930336,0,0.0210834480822086,0,0,0,0.347749471664429,2.49605250358582
91434,223.940841674805,10.7142314910889,0.0355747640132904,0.406302809715271,0.684744954109192,0,0.18245093524456,0,0.13280414044857,0,0,0,0.561294853687286,4.64297723770142
91435,212.712600708008,11.95618724823,-0.362360775470734,0.0360446125268936,0.441608011722565,0,0.447267949581146,0,0.11058534681797,0.000538688153028488,0,0,0.745908796787262,5.1231427192688
91436,208.790588378906,11.363242149353,-0.286751180887222,0.0424412190914154,0.866442620754242,0,0.0244047157466412,0,0.109152689576149,0,0,0,0.920537054538727,5.86025619506836
91437,206.881271362305,9.34030151367188,-0.336573600769043,0.0256919842213392,0.49230882525444,0,0.144037514925003,0,0.363653659820557,0,0,0,0.937569618225098,6.02296876907349
91438,218.360626220703,10.5688934326172,-0.535898983478546,-0.351496040821075,0.397146314382553,0,0.33887580037117,0,0.263708531856537,0.000269344076514244,0,0,0.765490710735321,5.50102376937866
91439,237.714614868164,14.5282726287842,-0.407484829425812,0.100840225815773,0.534013628959656,0,0.228376984596252,0,0.237609371542931,0,0,0,0.706392109394073,5.33918762207031
91440,225.686477661133,16.7492351531982,-0.22019250690937,0.27418315410614,0.496782630681992,0,0.474268853664398,0.00107737630605698,0.027871148660779,0,0,0,0.57193511724472,5.58628702163696
91441,187.064331054688,9.86254978179932,-0.103037230670452,-0.159860730171204,0.660420060157776,0,0.102191723883152,0,0.237388223409653,0,0,0,0.828696131706238,5.74219799041748
91442,226.574920654297,11.7957468032837,-0.0919639393687248,-0.259140461683273,0.45223069190979,0,0.317590743303299,0,0.230178564786911,0,0,0,0.919569730758667,6.03104257583618
91443,221.45637512207,13.5775489807129,-0.235295102000237,0.290738612413406,0.265535622835159,0,0.573133289813995,0,0.159176364541054,0.00215475261211395,0,0,0.657994449138641,4.47897577285767
91444,182.790161132812,15.9034309387207,-0.00767508987337351,0.120605245232582,0.565266072750092,0,0.40610271692276,0,0.0283618569374084,0.000269344076514244,0,0,0.403573572635651,3.51253938674927
91445,192.128341674805,15.095742225647,0.19211420416832,-0.325095385313034,0.41444730758667,0,0.578187167644501,0,0.00736551359295845,0,0,0,0.381470859050751,3.71104121208191
91446,235.282043457031,17.2045803070068,0.191599249839783,-0.263240545988083,0.238273829221725,0,0.759571433067322,0.00215475261211395,0,0,0,0,0.246416553854942,3.72681927680969
91447,248.650024414062,19.0889015197754,0.352491945028305,-0.00135650439187884,0.573742568492889,0,0.415483683347702,0,0.0107737630605698,0,0,0,0.296253085136414,3.72681927680969
91448,253.306091308594,22.2788028717041,0.406185328960419,0.0383546985685825,0.833762586116791,0,0.158695802092552,0,0.00754163367673755,0,0,0,0.337742507457733,3.54187417030334
91449,226.696075439453,20.0442981719971,0.226902857422829,0.0891818702220917,0.91982764005661,0,0.074785478413105,0,0.00538688153028488,0,0,0,0.304419755935669,2.26354193687439
