"unit_id","psi_pred","psi_se","psi_src","hotspot","q5_flag","bobc_detected","kde_mean","kde_max","psi_q5"
17460,0.990862124773255,0.0140988251563726,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000559093223273521,0.00000204153548111208,5
17463,0.995356974948694,0.00830366367001671,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000201420021994636,0.000000535649064659083,5
17470,0.855881954084801,0.0547496640996494,"modavg[m_full+m_fullgrad]","ns",NA,1,NA,NA,4
17490,0.924889405094025,0.0418091260160875,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000710918868662702,0.00000110363930616586,4
17495,0.8955195443543,0.0544910852672106,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000101372350513884,0.0000000879567636502543,4
17506,0.759122774330801,0.0795122708593853,"modavg[m_full+m_fullgrad]","cold",NA,1,0.000000451857374628162,0.00000110592588953295,3
17520,0.929407638431877,0.0323524620950087,"modavg[m_full+m_fullgrad]","ns",NA,0,0.0000000864891873675333,0.000000989124032457767,4
17525,0.903373831060991,0.0566659843259232,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000116965551910653,0.000000267177853174871,4
17532,0.358919052586666,0.116533217555294,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000391405563959779,0.000000738570008707029,2
17537,0.253676990287911,0.0755426991299901,"modavg[m_full+m_fullgrad]","cold",NA,1,0.000000474136811590142,0.000000810044184618164,2
17550,0.39586424010141,0.13137510638934,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000751198783177642,0.0000000873100560738749,2
17572,0.224040864959652,0.106050805791336,"modavg[m_full+m_fullgrad]","ns",NA,0,NA,NA,2
17586,0.953772948121455,0.0257085238748398,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000209225191838414,0.000000503498711168504,5
17657,0.787881448304175,0.0816610146927218,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000000000456804732928973,0.0000000000229304353283055,3
17685,0.995787129856907,0.00533413333253459,"modavg[m_full+m_fullgrad]","cold",NA,0,0.0000000141172957768276,0.00000017302811272657,5
17705,0.656924556647702,0.0999046832520518,"modavg[m_full+m_fullgrad]","ns",NA,1,0.00000056469832543371,0.00000072508203174948,3
17725,0.0795745389298614,0.0360599627802258,"modavg[m_full+m_fullgrad]","ns",NA,0,NA,NA,1
17744,0.289680277169838,0.0924139358540286,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000107247728919901,0.00000129749764710141,2
17818,0.387404998454357,0.0729506094005755,"modavg[m_full+m_fullgrad]","ns",NA,0,0.0000000616031741174083,0.000000227962530630066,2
17830,0.848188633185289,0.0596028191152444,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000000505238573200728,0.0000000590987703219525,4
17835,0.896178974149383,0.0594099759934207,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000000801845312370375,0.0000000034614933142052,4
17846,0.899762908023319,0.0561204636135729,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000179839094727186,0.0000000567641293969245,4
17866,0.770118161769803,0.0921549384659996,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000227937164254399,0.000000289995114144403,3
17900,0.255155171042972,0.0624260298619612,"modavg[m_full+m_fullgrad]","cold",NA,0,0.00000000000000000000239535127380787,0.0000000000000000000241343837761697,2
17909,0.9645017321015,0.0252471562136635,"modavg[m_full+m_fullgrad]","cold",NA,0,NA,NA,5
17912,0.32628262634995,0.135552915524697,"modavg[m_full+m_fullgrad]","ns",NA,0,0.0000000000000000000000204723998831599,0.0000000000000000000000703843219763681,2
17926,0.824824549406846,0.0793152247447876,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000198707795107111,0.000000362330837333502,4
17946,0.991970515919524,0.01077316651589,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000105865375132908,0.000000284740309552944,5
17960,0.292023810779374,0.0763254806475453,"modavg[m_full+m_fullgrad]","ns",NA,0,0.0000000000000000021254534052545,0.0000000000000000290063024803111,2
17984,0.507926635797606,0.0929461865530292,"modavg[m_full+m_fullgrad]","ns",NA,1,NA,NA,3
17989,0.994642375582158,0.00712012433539166,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000089348610288198,0.000000515391548105981,5
18012,0.526328015201157,0.115008933971302,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000463361516267469,0.000000488504497297981,3
18032,0.437619525923871,0.127405955934426,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000027421763206803,0.00000288517094304552,2
18040,0.988167156998561,0.0119458954657135,"modavg[m_full+m_fullgrad]","ns",NA,1,NA,NA,5
18056,0.85964405533239,0.0769267190882223,"modavg[m_full+m_fullgrad]","ns",NA,0,0.0000000145023442144065,0.000000064553937306755,4
18065,0.983555706670673,0.0148489737668848,"modavg[m_full+m_fullgrad]","ns",NA,1,NA,NA,5
18069,0.90908261465625,0.0392521548954205,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000381800077775551,0.00000107866037524218,4
18076,0.249936451133765,0.0562026469521865,"modavg[m_full+m_fullgrad]","ns",NA,0,0.0000001185860085684,0.000000140753698474327,2
18081,0.161107547244834,0.049347552384444,"modavg[m_full+m_fullgrad]","ns",NA,1,NA,NA,1
18088,0.219785691007401,0.0850557265884573,"modavg[m_full+m_fullgrad]","ns",NA,1,NA,NA,1
18091,0.780045238059125,0.073530220183177,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000000000000621213500295161,0.00000000000000329703403081471,3
18095,0.760699225845311,0.102886686984999,"modavg[m_full+m_fullgrad]","cold",NA,0,0.00000228085309572634,0.00000263960896518256,3
18100,0.252192507269393,0.0811008220931964,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000000388151975838635,0.000000000144497080967199,2
18113,0.711649869006029,0.0684985331342787,"modavg[m_full+m_fullgrad]","ns",NA,1,NA,NA,3
18121,0.858552634042588,0.0662423418949608,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000686702321672783,0.00000107866037524218,4
18134,0.534648734710722,0.133799362495584,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000174866400470819,0.000000193043575791307,3
18146,0.961182647028286,0.0231669783579804,"modavg[m_full+m_fullgrad]","cold",NA,1,0.000000109413228699395,0.000000491580976813566,5
18154,0.186003509907079,0.0611975523996929,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000438772104871532,0.000000650579636385373,1
18158,0.519769130939313,0.152385202754077,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000111490244592005,0.000000183864841574177,3
18165,0.18404305700652,0.0767753163973648,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000385731908636444,0.00000141304519729601,1
18169,0.144377258507088,0.0817154648373443,"modavg[m_full+m_fullgrad]","cold",NA,0,0.000000142048619977686,0.00000163770744165959,1
18191,0.987121934309064,0.0134074998979235,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000000339164629714617,0.0000000119820464661302,5
18224,0.336875291856736,0.0906801129556613,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000000000202167696103893,0.0000000000021813718366348,2
18235,0.994879292055729,0.00864182298381539,"modavg[m_full+m_fullgrad]","ns",NA,0,NA,NA,5
18255,0.579358818655585,0.146860324342931,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000669020721488778,0.00000104637479125813,3
18259,0.20136216071425,0.0798235327664272,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000568049756566325,0.000000672222540742951,1
18284,0.477174429509853,0.100156419877158,"modavg[m_full+m_fullgrad]","ns",NA,0,NA,NA,2
18298,0.158849180031071,0.0482532466455845,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000635962109640786,0.000000137178560066786,1
18316,0.486061819597857,0.0813578119548659,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000000000000172324829712388,0.00000000000000503978293220852,2
18349,0.121974301540367,0.067236834078613,"modavg[m_full+m_fullgrad]","cold",NA,0,0.00000000323967452864338,0.00000000564312641060383,1
18352,0.83415998096154,0.0679562381344089,"modavg[m_full+m_fullgrad]","ns",NA,1,0,0,4
18359,0.593798915960038,0.100632134259817,"modavg[m_full+m_fullgrad]","ns",NA,0,NA,NA,3
18374,0.229303240691791,0.0800212430185733,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000198180757138289,0.000000280063687796428,2
18391,0.269214690329145,0.0663110991406036,"modavg[m_full+m_fullgrad]","cold",NA,0,0.00000016867323893166,0.000000384727712798849,2
18423,0.979376958846693,0.0239968311625777,"modavg[m_full+m_fullgrad]","ns",NA,0,NA,NA,5
18427,0.743716444724632,0.0851011464262033,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000000000141253111637929,0.00000000000328682957587145,3
18442,0.662570778940099,0.14307449104089,"modavg[m_full+m_fullgrad]","ns",NA,0,0.0000000000000000488555435260929,0.00000000000000133849289819603,3
18452,0.245190893132082,0.0858081863602587,"modavg[m_full+m_fullgrad]","ns",NA,0,0.0000000000505361967551021,0.0000000000987902884497238,2
18507,0.750354347761297,0.109555621667121,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000000000000000000973224519578093,0.000000000000000000139757541164816,3
18511,0.982516959579788,0.0231375672844158,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000338067138727638,0.000000423378253344708,5
18562,0.376055180893655,0.0807945464213466,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000000218157958364884,0.00000000880606876307866,2
18591,0.378698008983212,0.0622966828146858,"modavg[m_full+m_fullgrad]","cold",NA,0,NA,NA,2
18604,0.949050303119881,0.0271112507935643,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000328045473452221,0.000000968263407230552,5
18609,0.939427888809171,0.0313970619628612,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000710995777808421,0.000000501747933867591,5
18614,0.339068653267697,0.085660127290003,"modavg[m_full+m_fullgrad]","ns",NA,1,0.00000000000193094802300453,0.0000000000435862942960163,2
18617,0.107425007258807,0.0571790099335551,"modavg[m_full+m_fullgrad]","ns",NA,0,0.0000000000000134636183427603,0.0000000000000416268683748038,1
18620,0.297118082135222,0.099156994790725,"modavg[m_full+m_fullgrad]","cold",NA,0,0.0000000291132860041898,0.0000000324089945991091,2
18643,0.256295525744149,0.0958501608651087,"modavg[m_full+m_fullgrad]","cold",NA,0,0.0000000000000000000000138879341017394,0.0000000000000000000000312522141297194,2
18676,0.913492572083093,0.0513315084264655,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000534726837031485,0.000000858387920743553,4
18677,0.607504847532096,0.101320567855883,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000000000000000889695821322488,0.00000000000000000129548095473653,3
18690,0.173012425608911,0.0674962662698141,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000199368159314872,0.000000248390108481544,1
18695,0.333250658214528,0.107101416271231,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000000034689640049379,0.00000000010981778680863,2
18716,0.700416264407486,0.136982770156896,"modavg[m_full+m_fullgrad]","ns",NA,0,0.0000000241547830626132,0.0000000636107913010164,3
18720,0.120641513609499,0.0347952543074862,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000000170843095226303,0.00000000450605641688639,1
18757,0.444213706714448,0.103207427294077,"modavg[m_full+m_fullgrad]","ns",NA,0,0.0000000000143423580303836,0.0000000000388743655321822,2
18760,0.342034642065451,0.0640385691554772,"modavg[m_full+m_fullgrad]","cold",NA,0,NA,NA,2
18778,0.958813531270395,0.0242570401081146,"modavg[m_full+m_fullgrad]","ns",NA,1,0.00000331207343151618,0.0000128730343931238,5
18807,0.304698012635759,0.0703146140075568,"modavg[m_full+m_fullgrad]","ns",NA,0,NA,NA,2
18811,0.742695872278506,0.0708550154982361,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000198561295405852,0.00000221328104998975,3
18815,0.24261330284298,0.0533059554334471,"modavg[m_full+m_fullgrad]","ns",NA,0,NA,NA,2
18821,0.538855405744903,0.109685409821151,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000000113073805874109,0.00000000566874591712008,3
18846,0.816611183216963,0.0642466246707758,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000277447345098381,0.0000000370204311650468,4
18849,0.946777646580073,0.0297130125476674,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000623348284989333,0.00000119531205200474,5
18850,0.787700248484479,0.0833344128433423,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000222898215440637,0.0000000370204311650468,3
18880,0.413128376546976,0.137882766438645,"modavg[m_full+m_fullgrad]","cold",NA,0,0.00000348054413734644,0.00000575313788431231,2
18897,0.0863706492073842,0.0338496466260697,"modavg[m_full+m_fullgrad]","cold",NA,0,0.0000000918176468189813,0.000000109114878910077,1
18900,0.141866485439828,0.0399002869372327,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000786177963618684,0.000000827955943805136,1
18908,0.705277837712321,0.0824864641869563,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000000150556067612939,0.00000000796569388228363,3
18918,0.9732573159733,0.033028265329059,"modavg[m_full+m_fullgrad]","ns",NA,1,0.00000000000000000000890616883703392,0.000000000000000000243942748773459,5
