"unit_id","county","hab_area_km2","unit_name","n_occ","effort_years","gistar_z","hotspot","q5_flag","n_total","n_obscured","obscured_frac","kde_mean","kde_max","bobc_detected"
53062,"Alameda",0.127537580897291,"The Preserve",2,1,-0.112986976891649,"ns",NA,1,0,0,0.00000092873830226381,0.0000014294940910986,1
53063,"Alameda",0.161460131542422,"Quint",0,0,-0.411787865433482,"ns",NA,0,0,NA,NA,NA,NA
53064,"Alameda",0.729893425149571,"Doolan South",0,0,-0.414808436476993,"ns",NA,0,0,NA,NA,NA,NA
53068,"Alameda",1.21431330207627,"Springtown Preserve",0,2,-0.404773692818296,"ns",NA,0,0,NA,NA,NA,0
53069,"Alameda",0.141338015261648,"Unnamed Site - Livermore, City of",0,0,-0.411787865433482,"ns",NA,0,0,NA,NA,NA,NA
53070,"Alameda",0.33040607846383,"Hartford Hills",0,0,-0.478019951338883,"cold",NA,0,0,NA,NA,NA,NA
53071,"Alameda",0.55205058001754,"Doolan North",0,0,-0.409291245173099,"cold",NA,0,0,NA,NA,NA,NA
53072,"Alameda",0.300078420743145,"Goeken Road",0,0,-0.388733908353312,"ns",NA,0,0,NA,NA,NA,NA
53073,"Alameda",0.503541160515961,"Greenville Road",0,1,-0.364362988401607,"ns",NA,0,0,NA,NA,NA,0
53100,"Santa Clara",0.284786264727205,"Bear Creek Redwoods Addition",0,2,-0.0987501133971544,"ns",NA,0,0,NA,0.0000000415869152448067,0.0000000834677820193974,0
53160,"Santa Cruz",0.424107000737667,"Cotoni-Coast Ridge",0,0,-0.178972726447328,"ns",NA,0,0,NA,0.00000000000000000978600490456167,0.00000000000000015947338113885,NA
53203,"Contra Costa",0.308463775253756,"Point Molate Regional Shoreline",0,1,-0.391574436040347,"ns",NA,0,0,NA,NA,NA,0
53204,"Contra Costa",0.794924412142653,"Thurgood Marshall Regional Park",0,0,-0.404773692818296,"ns",NA,0,0,NA,NA,NA,NA
53205,"Contra Costa",0.602126963298701,"Deer Valley Regional Park",0,0,-0.302990390376589,"ns",NA,0,0,NA,NA,NA,NA
53208,"Contra Costa",2.16703449038759,"Rancho Pinole Regional Preserve",0,1,-0.618277584513199,"cold",NA,0,0,NA,0.00000017038473743014,0.000000185410897302063,0
