"unit_id","county","hab_area_km2","unit_name","n_occ","effort_years","gistar_z","hotspot","q5_flag","n_total","n_obscured","obscured_frac","kde_mean","kde_max"
25900,"Santa Clara",0.114274628525924,"San Francisco Bay",0,1,-0.199837023585257,"ns",NA,0,0,NA,0.00000000455378668107187,0.00000000455378668107187
26044,"Contra Costa",1.9119875143847,"Franklin Canyon",0,5,-0.314394127622371,"cold",NA,0,0,NA,0.0000000162842024309384,0.0000000222716902698039
26058,"Santa Clara",0.26991923750323,"El Sereno Open Space Preserve",0,0,0.0617144259461704,"ns",NA,0,0,NA,0.0000000614167845469638,0.0000000911546820248077
26059,"San Mateo",9.16925268859053,"Miramontes Ridge Open Space Preserve",0,8,-0.0176209759797999,"ns",NA,0,0,NA,0.00000000484063944483637,0.00000000951375334068416
26061,"Santa Clara",0.457256187337314,"Penitencia Creek Park",0,9,-0.102686456787027,"ns",NA,0,0,NA,0.0000000117311751424154,0.0000000187479081148467
26069,"Sonoma",1.61608800883873,"Riddell Preserve",5,3,0.464928178366944,"hot","occ_hot_effort_not_TRUSTED",4,0,0,0.0000000670324524776333,0.000000074495467572433
26070,"Sonoma",0.237514900042178,"Laguna de Santa Rosa Wetlands Preserve",0,5,-0.187365701928555,"ns",NA,0,0,NA,0.00000000904047059435698,0.00000000988853798844502
26072,"Sonoma",0.164001043649601,"Cedars Gateway",0,0,-0.102555703897245,"ns",NA,0,0,NA,0.0000000571985410147136,0.0000000742981782764218
27031,"Contra Costa",0.980171673865237,"Deer Valley",0,0,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
28108,"Contra Costa",6.52213058745508,"Las Trampas Wilderness Regional Preserve",0,4,-0.167453501319181,"ns",NA,0,0,NA,0.0000000375150541742642,0.0000000589434812070522
28112,"Alameda",18.255007812337,"Pleasanton Ridge Regional Park",0,6,-0.187365701928555,"ns",NA,0,0,NA,0.0000000258509498252124,0.0000000701870419561601
28121,"Contra Costa",0.592030249946814,"Briones Regional Park",0,0,-0.167453501319181,"ns",NA,0,0,NA,NA,NA
28123,"Contra Costa",3.0378563211105,"Crockett Hills Regional Park",0,0,-0.337607087457896,"cold",NA,0,0,NA,0.0000000507719732922851,0.0000000684097685166307
28142,"San Mateo",0.118190602702757,"Smith Field",0,0,-0.233588795812426,"ns",NA,0,0,NA,0.00000000946216616171114,0.00000000948801037736757
28207,"Sonoma",0.225592165533652,"Petaluma Urban Separator",0,4,-0.209863757372676,"cold",NA,0,0,NA,0.0000000183481283499987,0.0000000225626006766788
28256,"Santa Cruz",12.9423198925866,"Swanton Pacific Ranch",0,13,-0.138325055055722,"ns",NA,0,0,NA,0.00000000197941329993512,0.0000000045763619560546
28258,"Santa Cruz",7.85158109144892,"San Lorenzo Valley Water District",3,7,0.0405217007366625,"ns",NA,7,7,1,0.0000000314975672210949,0.0000000937503727982403
28268,"Santa Cruz",3.58010496365469,"Santa Cruz, City of - Closed Area",3,3,0.0592311545433552,"ns",NA,2,1,0.5,0.0000000689171955059464,0.0000000937503727982403
28279,"Santa Cruz",0.544672942190825,"Center For Natural Lands Management",0,3,-0.242654995909454,"cold",NA,0,0,NA,0.00000000212885242767413,0.00000000248297293836686
28288,"Sonoma",0.397432028174877,"Bear Canyon",0,0,0.00475234957818558,"ns",NA,0,0,NA,0.00000013269952603423,0.000000139803759680035
28296,"Santa Cruz",0.552640770815381,"Soquel Creek Watershed District Land",1,0,0.290907158846001,"ns",NA,0,0,NA,0.0000000166490305986144,0.000000023742993349174
28305,"Solano",0.141602411619209,"Al Patch Park",0,0,-0.262332310850271,"cold",NA,0,0,NA,NA,NA
28318,"San Francisco",0.387045185064348,"Farallon National Wildlife Refuge",0,0,-0.0697060784840234,"cold",NA,0,0,NA,0.00000000000013183554183234,0.000000000000195952398729902
28340,"Santa Clara",0.159296587526319,"Coyote Creek Park",0,0,-0.242654995909454,"cold",NA,0,0,NA,0.0000000380899152219172,0.0000000382151554845223
29079,"Marin",0.112276572804358,"Mount Tamalpais State Park",0,9,0.0151789709977068,"ns",NA,0,0,NA,0.0000000339100587609664,0.0000000339100587609664
29105,"San Mateo",1.61605967084483,"Bair Island Ecological Reserve",0,5,-0.209863757372676,"cold",NA,0,0,NA,0.0000000129645032487247,0.0000000140278242355407
29118,"Santa Clara",2.80202159499109,"Bear Creek Redwoods Open Space Preserve",0,11,-0.0565425703783578,"ns",NA,1,1,1,0.0000000951367269408365,0.000000114712008780771
29127,"Napa",4.89056616989954,"Lake Hennessey",0,7,-0.209863757372676,"cold",NA,0,0,NA,0.00000013254108921501,0.00000014107467904978
29128,"Contra Costa",3.50618929681763,"Sibley Volcanic Regional Preserve",0,12,-0.275217460307687,"ns",NA,0,0,NA,0.00000000315249271132245,0.00000000748946860085198
29145,"Santa Clara",0.216215632299719,"Guadalupe River Park",0,8,-0.199837023585257,"ns",NA,0,0,NA,0.000000026944853459554,0.0000000306847454112358
29159,"Solano",1.40183239229204,"Rolling Hills Open Space",0,2,-0.262332310850271,"cold",NA,0,0,NA,NA,NA
29160,"Solano",0.107726845417673,"Spyglass Open Space",0,0,-0.221314647118306,"cold",NA,0,0,NA,NA,NA
29162,"Contra Costa",0.303425775997224,"Delta De Anza Regional Trail",0,0,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
29388,"Sonoma",3.95289009319041,"Saddle Mountain Open Space Preserve",0,5,-0.0667863527387683,"ns",NA,0,0,NA,0.0000000750891402390153,0.0000000822073218387231
29389,"Sonoma",0.634619670170452,"Healdsburg Ridge Open Space Preserve",0,6,-0.0310170015802914,"ns",NA,0,0,NA,0.0000000803623052547664,0.0000000812315903431227
29405,"Contra Costa",0.277230364292303,"Carquinez Strait Regional Shoreline",0,0,-0.314394127622371,"cold",NA,0,0,NA,NA,NA
29412,"Contra Costa",7.88899128329277,"Byron Vernal Pools Regional Preserve",0,1,-0.174094406214199,"ns",NA,0,0,NA,NA,NA
29415,"Contra Costa",0.151453747160686,"Briones/Las Trampas Trail",0,1,-0.252676457568109,"cold",NA,0,0,NA,NA,NA
29420,"Alameda",3.61460244431376,"Mission Peak Regional Preserve",0,11,-0.0667863527387683,"ns",NA,0,0,NA,0.000000000601580452119777,0.00000000117191156778773
29544,"Alameda",22.0248688944581,"Ohlone Regional Wilderness",7,8,0.469753914638386,"ns",NA,7,0,0,0.0000000113739622165099,0.0000000120229755040668
29545,"Alameda",11.8818229967893,"Sunol Regional Wilderness",4,14,0.0762910518951394,"ns",NA,4,0,0,0.00000000500698371652675,0.0000000111882645370542
29556,"Contra Costa",0.648562276784077,"Carquinez Strait Regional Shoreline",0,0,-0.330037075964696,"cold",NA,0,0,NA,NA,NA
29557,"Contra Costa",0.166742204113223,"BLM",0,0,-0.221806905662458,"ns",NA,0,0,NA,NA,NA
29584,"Santa Clara",3.29845050706549,"Saratoga Gap Open Space Preserve",0,2,0.2353029145254,"ns",NA,0,0,NA,0.0000000837419307231357,0.000000118817474970001
29585,"San Mateo",3.57378188937645,"Skyline Ridge Open Space Preserve",10,5,1.16090553362549,"ns",NA,10,0,0,0.000000243926393750371,0.000000355164274878916
29586,"Santa Clara",0.108001136007614,"Don Edwards National Wildlife Refuge",0,0,-0.209863757372676,"cold",NA,0,0,NA,0.000000013671199283749,0.000000017372796534687
