"unit_id","spans_gradient","elev_mean","elev_sd","slope_mean","slope_sd","aspect_north","aspect_east","lc_frac_tree","lc_frac_shrub","lc_frac_grass","lc_frac_crop","lc_frac_built","lc_frac_bare","lc_frac_wetland","lc_frac_water","ghm_mean","ghm_sd","housing_logden_mean","housing_logden_sd"
378,FALSE,101.245513916016,70.1664276123047,18.7360210418701,8.81919765472412,0.610407769680023,0.290365636348724,0.636483079130757,0.00387981759369331,0.318365682781221,0,0.0412710340973847,0.000000386396943362134,0,0,0.547432720661163,0.234203189611435,0.108000941976135,0.568654317013021
393,FALSE,26.6658878326416,0.471679627895355,0.212677136063576,0.574330925941467,-0.0411482304334641,0.238711461424828,0.0185039657302804,0,0.866995356757346,0.114246390770519,0.00025428674185468,0,0,0,0.517979979515076,0.0689518749713898,0,0
402,TRUE,479.49951171875,198.174346923828,20.0594673156738,11.2924337387085,0.0410138592123985,0.0411974936723709,0.338382144602039,0.0127920841631199,0.579744971436351,0.000410368622257718,0.000381888702257813,0.000154767594680054,0,0.0681337748792952,0.0882386043667793,0.092865489423275,0.0204209945926681,0.139811419983403
413,FALSE,71.7383728027344,36.1459693908691,12.0170564651489,7.24463939666748,0.193598613142967,-0.188155278563499,0.467845869004777,0.000250848972026431,0.52935302954757,0,0.00191151058082031,0.000638741894806516,0,0,0.196069344878197,0.139582395553589,0.0902687080450854,0.593653807964693
421,FALSE,30.3082542419434,30.3541507720947,11.5082330703735,10.5147008895874,0.016625065356493,-0.0455642901360989,0.596476508925333,0,0.304341620007965,0.00119773849189282,0.0127864331656716,0.0412586079759625,0.00598869245946408,0.0379503989737113,0.307851076126099,0.25311553478241,0.152867383889219,0.741458261234276
441,FALSE,2.30145716667175,0.475038945674896,0.595731914043427,0.828166723251343,-0.104171417653561,0.533589482307434,0.0204230482907942,0,0.499072146745281,0.0755576996920519,0.346825797816448,0.00739725731250857,0.00211350208928816,0.0486105480536278,0.967592716217041,0.0244673248380423,1.83989479980358,3.03594340951098
455,FALSE,1.67540955543518,0.81352698802948,0.974113941192627,1.1746414899826,0.0541791021823883,0.423646122217178,0.0407347419990013,0.0090176065071788,0.570682483049634,0.00616679809240694,0.0405569301581283,0.0614567099977349,0.20921041375469,0.0621743164412252,0.762931525707245,0.105175353586674,0.658916848336906,1.7096191697842
461,FALSE,1.98433768749237,5.29993963241577,0.829245328903198,1.64966320991516,-0.112478643655777,0.685057938098907,0.0547237809180865,0.00944083675074563,0.561696924420636,0.207679156677527,0.00820362992307534,0.000830892575313475,0.00726650024745143,0.150158278487165,0.459582298994064,0.11131627112627,0.466648898991927,0.334917361396335
470,FALSE,425.604888916016,86.5216522216797,18.1030902862549,7.03063869476318,-0.525863885879517,0.178664460778236,0.945655619133753,0.00207774508333493,0.0217091735966447,0,0.0000857108788919691,0.030471751307375,0,0,0.0399193055927753,0.0272060297429562,0.25502592144594,0.14030436049218
491,FALSE,140.182357788086,63.895378112793,25.7917499542236,7.37245988845825,0.335354208946228,-0.347640246152878,0.978613718247966,0,0.0213862817520341,0,0,0,0,0,0.287831127643585,0.127356007695198,0.221179296133168,0.936090322187386
499,TRUE,221.800338745117,111.98087310791,25.177453994751,8.99701881408691,0.291761308908463,-0.0306091755628586,0.929979810361433,0.00599584825857816,0.0617621373347428,0,0.00226220404524585,0,0,0,0.154107674956322,0.135497152805328,0.0763301183491205,0.649717399685178
516,FALSE,281.505950927734,58.5721549987793,21.6277465820312,9.43035793304443,-0.485401421785355,-0.0326942913234234,0.905162129484959,0.00069824081055845,0.0929573606631863,0,0.00118226904129602,0,0,0,0.273935317993164,0.088309571146965,0.0440494765659699,0.384757488269516
